"id","region","item_code","item_name","item_value","unit","etl_time","dm_update_time","dm_load_time","yr"
"6108b104-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,689.63564,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2014
"6109137e-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,633.02821,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2006
"610bc40c-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,573.49069,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2010
"610c267c-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,612.70626,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2007
"610ce80a-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,742.96652,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2020
"610da8c6-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,786.97741,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2023
"610e0884-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,787.56842,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2024
"610ec6a2-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,539.14693,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2012
"61c6548e-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,243.69884,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2025
"61c71996-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,278.46851,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2013
"61ca1d44-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,120.92860,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2008
"61ceadaa-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,148.43324,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2017
"61d2cc96-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,67.05626,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2009
"61d5d922-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,106.41892,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2019
"61d94062-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,109.79191,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2011
"61da0678-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,99.80370,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2025
"61da6726-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,112.21372,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2012
"61dc4d98-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,102.43457,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2005
"61ddd6f4-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,301.08426,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2022
"61dfc04a-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,119.98935,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2007
"61e1c336-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,280.62280,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2015
"61e2e752-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,121.64458,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2006
"61e3a9d0-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,137.96512,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2015
"61e40c9a-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,75.96117,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2009
"61e532dc-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,294.75885,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2021
