"id","tag_name","tag_value","quality","tag_time","ms_sql_time","tag_value_avg","tag_value_min","tag_value_max"
17838922,QueueSquence_10B_ExtendBackwash_SP,"60.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:34.048,60,60,60
17838925,QueueSquence_10B_SQ1_DrainTime_SP,"999.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:34.048,999,999,999
17838932,QueueSquence_10B_SQ8_SlowStartlTime_SP,"120.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:34.048,120,120,120
17838980,QueueSquence_12B_SQ8_SlowStartlTime_SP,"120.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,120,120,120
17838997,RawWater_InletPressure_Pressure,"8.3",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,8.269444,8.099998,8.46
17839000,RawWater_Pump_001_Flow_SP,"170.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,170,170,170
17839003,RawWater_Pump_001_Motor_DE_Temp,"39.8",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,39.799999,39.799999,39.799999
17839006,RawWater_Pump_001_Motor_NDE_Temp_SP_Display,"90.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,90,90,90
17839009,RawWater_Pump_001_Pump_DE_Temp,"29.5",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,29.417778,29.4,29.5
17839014,RawWater_Pump_001_Voltage,"389.80328",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,390.649556,389.67395,391.340088
17839019,RawWater_Pump_002_Motor_DE_Temp,"56.9",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,56.867776,56.799999,56.999996
17839022,RawWater_Pump_002_Motor_NDE_Temp_SP_Display,"90.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,90,90,90
17839023,RawWater_Pump_002_PCT_SP,"95.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,95,95,95
17839025,RawWater_Pump_002_Pump_DE_Temp,"43.4",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,43.548888,43.400002,43.599998
17839031,RawWater_Pump_003_Current,"100.74326",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,100.987363,100.677849,101.194847
17839043,RawWater_Pump_003_Pump_NDE_Temp,"29.8",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,29.797777,29.699999,29.799999
17839053,RawWater_Pump_004_Motor_NDE_Temp,"44.1",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,44.042222,44,44.099998
17839054,RawWater_Pump_004_Motor_NDE_Temp_SP_Display,"90.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,90,90,90
17839055,RawWater_Pump_004_PCT_SP,"90.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,90,90,90
17839058,RawWater_Pump_004_Pump_DE_Temp_SP_Display,"90.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,90,90,90
17839062,RawWater_Pump_004_Voltage,"387.25436",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,388.185535,387.162781,388.99295
17839080,Sedimentation_Auto_Setting_Basin_Delay_ST_M,"2.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,2,2,2
17839081,Sedimentation_Auto_Setting_Basin_Run_ST_M,"210.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,210,210,210
17839098,SedimentationBasins_03_04_Basin_Start_Delay_ET_M,"2.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,2,2,2
17839099,SedimentationBasins_03_04_Basin_Start_Delay_ET_S,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839108,SedimentationBasins_05_06_Basin_Sequence_ET_S,"26.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,25.6,0,51
17839110,SedimentationBasins_05_06_Basin_Start_Delay_ET_S,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839113,SedimentationBasins_05_06_Sludge_Valve_Open_ET_M,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839122,SedimentationBasins_07_08_NoOfWithdraw,"2.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,2,2,2
17839125,SedimentationBasins_07_08_Sludge_Valve_Open_ET_S,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839126,SedimentationBasins_07_08_Sludge_Valve_Open_ST_M,"3.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,3,3,3
17839132,SedimentationBasins_09_10_Basin_Start_Delay_ET_S,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839133,SedimentationBasins_09_10_NoOfWithdraw,"2.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,2,2,2
17839135,SedimentationBasins_09_10_Sludge_Valve_Open_ET_M,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839143,SedimentationBasins_11_12_Basin_Start_Delay_ET_S,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,1.333333,0,120
17839146,SedimentationBasins_11_12_Sludge_Valve_Open_ET_M,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839149,SedimentationBasins_11_12_Sludge_Valve_Wait_ET_M,"80.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,72.500002,65,80
17839150,SedimentationBasins_11_12_Sludge_Valve_Wait_ET_S,"26.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,25.6,0,51
17839153,ServiseReservoirPlantPressure_Pressure,"77.75",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,77.769982,75.809975,79.209976
17839166,SHSD_DosingUnit_2_Flow_SP,"170.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,170,170,170
17839171,SHSD_DosingUnit_3_ppm_SP,"4.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,4,4,4
17839172,SHSD_TankLevel_1_InletFlow,"0.1",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0.008889,0,0.4
17839173,SHSD_TankLevel_1_Level,"1.65",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,1.649889,1.64,1.66
17839174,SHSD_TankLevel_1_TimerInstantTime,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839176,SHSD_TankLevel_2_InletFlow,"1.1",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,1.775556,0,12.900001
17839188,Signal_05_Pressure,"1071.8",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,1073.035486,1061.699951,1082.499878
17839197,Sludge_Thickner_Feed_Pump_001_Position,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:38.242,0,0,0
17839277,TotalFilterVolume_10B_MI,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839278,TotalFilterVolume_11A_MI,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839279,TotalFilterVolume_11B_MI,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839281,TotalFilterVolume_12B_MI,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839286,TotalOutletVolume_03A_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839291,TotalOutletVolume_05B_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839292,TotalOutletVolume_06A_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839297,TotalOutletVolume_08B_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839301,TotalOutletVolume_10B_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839302,TotalOutletVolume_11A_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839303,TotalOutletVolume_11B_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839305,TotalOutletVolume_12B_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839307,TotalVolume_Flow,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839308,TotalVolume_MI,"32767.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,32767,32767,32767
17839309,TotalVolume_SecondStage_Flow,"0.0",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0,0,0
17839312,Treated_Water_Fluoride_Fluoride,"0.52",0,2026-06-05 10:31:40.920,2026-06-05 10:30:42.690,0.519,0.49,0.54
