"id","region","item_code","item_name","item_value","unit","etl_time","yr","dm_update_time","dm_load_time"
"73246e66-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,952283.12600,Ml,2026-03-10 11:02:07.680,2011,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7324ac6e-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,1035235.15200,Ml,2026-03-10 11:02:07.680,2022,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7324ec42-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,897510.53400,Ml,2026-03-10 11:02:07.680,2012,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73252ca2-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,799602.53800,Ml,2026-03-10 11:02:07.680,2005,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73256bcc-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,1023050.64400,Ml,2026-03-10 11:02:07.680,2020,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7325abfa-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,994480.07600,Ml,2026-03-10 11:02:07.680,2018,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"7325ec46-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,934200.88910,Ml,2026-03-10 11:02:07.680,2014,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"73262a26-fe5b-8c3e-7767-fa163e9bc3ab",NTE,bi_p_251,Raw Water Actual Supply Volume,920645.93900,Ml,2026-03-10 11:02:07.680,2006,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e735fa-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,23329.00000,Ml,2026-03-10 11:02:07.680,2021,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e7d23a-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,31467.00000,Ml,2026-03-10 11:02:07.680,2013,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e833c4-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,30592.00000,Ml,2026-03-10 11:02:07.680,2015,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e891ac-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,39913.00000,Ml,2026-03-10 11:02:07.680,2022,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e8ef3a-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,35292.00000,Ml,2026-03-10 11:02:07.680,2023,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e94d7c-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,46940.00000,Ml,2026-03-10 11:02:07.680,2016,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72e9aab0-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,22823.00000,Ml,2026-03-10 11:02:07.680,2025,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ea087a-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,35686.00000,Ml,2026-03-10 11:02:07.680,2024,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ea657c-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,33535.00000,Ml,2026-03-10 11:02:07.680,2009,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72eac1f2-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,37530.00000,Ml,2026-03-10 11:02:07.680,2006,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72eb1f12-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,39701.00000,Ml,2026-03-10 11:02:07.680,2010,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72eb7c96-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,34111.00000,Ml,2026-03-10 11:02:07.680,2017,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ebdd76-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,33346.00000,Ml,2026-03-10 11:02:07.680,2008,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ec3cee-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,35354.00000,Ml,2026-03-10 11:02:07.680,2019,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ec9a18-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,38046.00000,Ml,2026-03-10 11:02:07.680,2012,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ecf6c0-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,31892.00000,Ml,2026-03-10 11:02:07.680,2005,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ed52b4-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,33146.00000,Ml,2026-03-10 11:02:07.680,2020,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72edbfd8-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,39784.00000,Ml,2026-03-10 11:02:07.680,2014,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ee2158-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,26342.00000,Ml,2026-03-10 11:02:07.680,2018,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72ee8184-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,37531.00000,Ml,2026-03-10 11:02:07.680,2007,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72eee1f6-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_250,Raw Water Propose Supply Volume,32911.00000,Ml,2026-03-10 11:02:07.680,2011,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731a12ae-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,36653.62430,Ml,2026-03-10 11:02:07.680,2021,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731a954e-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,35938.65960,Ml,2026-03-10 11:02:07.680,2013,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731b0920-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,43144.53430,Ml,2026-03-10 11:02:07.680,2015,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731b76c6-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,47001.09400,Ml,2026-03-10 11:02:07.680,2022,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"731be444-fe5b-8c3e-7767-fa163e9bc3ab",HK,bi_p_251,Raw Water Actual Supply Volume,40015.26510,Ml,2026-03-10 11:02:07.680,2023,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
